"Vmax","Km","CUE","k","fd"
0.52543617580373,6.7076089766154,0.130688497471943,0.00308436938334834,0.0283044716997924
0.264570432837702,7.81036001631977,0.275710091517366,0.00318288530746704,0.0140924557674145
0.165263378229426,0.0800559349220193,0.436932657865612,0.00503823786340808,0.00970254561553621
0.379609961955303,6.6586913662481,0.159015821482848,0.00253664510479353,0.0181311104557653
0.450313159709305,6.8950147508634,0.135324174831815,0.0015644959944225,0.0231840497591052
0.133652673900883,1.30324789741077,0.568052931871786,0.00286280338040181,0.00577510295348882
0.172624994259606,5.98966314116425,0.372266021686674,0.00467097086749178,0.00994245025230557
0.170155680693432,1.16836112622481,0.444884650698503,0.00503834134094303,0.00830319480396952
0.374396604587432,5.26651919529913,0.130734790894908,0.00177865910136814,0.0189238933350623
0.204095465211161,0.0363798609073598,0.29690566135491,0.00387763641711949,0.0156891405057177
0.157954491654729,0.737111409704343,0.529192459709424,0.00948156498933278,0.00772719853615312
0.453650751406533,7.16451866096364,0.155402308018237,0.00394818558120139,0.0216113517781923
