"Vmax","Km","CUE","k","Vmax.sd","Km.sd","CUE.sd","k.sd","Legend","Structure"
1.2385229630687,58.9203119805871,0.741830387159963,0.0132537238255638,0.353771270081617,15.3413099893468,0.232573012171286,0.00377034605658238,"Respiration","BROTH"
0.728923257759448,22.1579427914037,0.635336512306573,0.0054225483447721,0.269934214802291,6.18702106332216,0.206362016094,0.00527728745878242,"Respiration","GLASS"
0.608036769399377,16.2258694990459,0.710261015425879,0.00568334337263857,0.251664122028125,4.58197824948195,0.248555513138035,0.00167710549630902,"Respiration","WOOL"
0.646122313334478,20.8883468895468,0.763080091081669,0.00480093248630146,0.0766389140970059,4.29042242980056,0.110300963650072,0.00125031257007221,"Respiration & Proteins","BROTH"
0.387407100338269,3.80500888243652,0.757580898702617,0.00630225464506195,0.115450907703781,3.75982703212886,0.170027426609791,0.00161110886195869,"Respiration & Proteins","GLASS"
0.518066392471152,10.965683266994,0.724377290904139,0.00687317083258011,0.0401823171331435,1.95782030077828,0.0270954047849339,0.00108509799032429,"Respiration & Proteins","WOOL"
0.264570432837702,7.81036001631977,0.275710091517366,0.00318288530746704,0.0467395922348544,1.61666691075796,0.0736481365366195,0.000754787495011686,"Respiration & DNA","BROTH"
0.165263378229426,0.0800559349220193,0.436932657865612,0.00503823786340808,0.0622310776289783,0.148181887645051,0.11035377003941,0.00127822989805247,"Respiration & DNA","GLASS"
0.379609961955303,6.6586913662481,0.159015821482848,0.00253664510479353,0.0570924888695973,2.88906829047064,0.0918562188357508,0.000600398663448483,"Respiration & DNA","WOOL"
0.271934751507091,11.3747527110921,0.323409594946156,0.00435761929177258,0.083958745304154,5.0419753182521,0.0651134560994729,0.00111901067686414,"All","BROTH"
0.118409148641605,0.00263346224329221,0.645248428688438,0.00752759648439857,0.0792644887535966,0.00378365371487602,0.153963530106708,0.00184899063298385,"All","GLASS"
0.12486994344423,0.493927305267886,0.60790232730405,0.0122390983752392,0.0375398532660773,0.828706409328034,0.105084290328702,0.00234411692750798,"All","WOOL"
