"Vmax","Km","CUE","k","fp"
0.501447820573865,8.63230649505193,0.775815332230582,0.0014830864858956,0.0551221515819307
0.646122313334478,20.8883468895468,0.763080091081669,0.00480093248630146,0.06064093210205
0.387407100338269,3.80500888243652,0.757580898702617,0.00630225464506195,0.0626267907635827
0.518066392471152,10.965683266994,0.724377290904139,0.00687317083258011,0.0442283148200258
0.616743749036665,17.5966219097954,0.716076391243567,0.00916024005755875,0.069664257923025
0.468874538183173,9.17995349687011,0.744220125020914,0.00427233204716564,0.0531220152994259
0.863332965896362,15.8015026068631,0.236717744700289,0.00128781158142981,0.251228901803033
0.402405826108241,4.27547660576669,0.747952034695686,0.00810736361055495,0.0730078146225469
0.536133133888123,11.55155066119,0.722354654854396,0.00714820117248317,0.0489219046579836
0.320724590614928,0.543185560533722,0.8535476518196,0.0098129091653614,0.054865203961651
0.532358620150607,11.8153300375243,0.69771590363891,0.00285607929689651,0.0567715210829747
0.465829120553227,8.1676461914801,0.747658374758068,0.012524537750254,0.0418274196945025
