"Vmax","Km","CUE","k","Cmic_0"
0.502872783230559,12.3587089993514,0.717808442633332,0.0105036764470236,0.138129522709662
0.563190199324464,13.3164523882921,0.808373364627135,0.00708647155919758,0.0522261796732175
0.558558313454467,13.4473709658239,0.662666326269735,0.00344893049535676,0.108233470717433
0.465779881690901,8.50360810772842,0.743276284809879,0.00852963490151617,0.103992638777616
1.10590037469755,19.599123008547,0.208591524041839,0.00493318295445902,0.125271252628763
0.926106582839148,36.447241311373,0.6438579556096,0.00895883000712303,0.136179318980047
0.906466084953303,33.5592304034251,0.382393145559307,0.00711698544832939,0.135021529611214
0.742197887759851,20.3326976703393,0.653942133219871,0.00981405551075657,0.0721319377873843
0.965688926050536,32.0507092463571,0.624573131296611,0.0066593253836946,0.124124357209151
0.713275698086542,23.9254988160282,0.733524053319968,0.00514920042494566,0.0943349490307785
0.708911261891491,22.1894190136885,0.637281080622267,0.00601411783448134,0.126200533377256
1.22975866149844,51.554126711542,0.566319607781383,0.00740925470250698,0.202707841726872
