"Vmax","Km","CUE","mr","k","fd"
0.147376535943006,1.7604867872639,0.561627577820823,0.00736591631896523,0.00160577758103409,0.00769449687665693
0.124142499226437,2.21552393473986,0.680114253003458,0.00547407612058748,0.000802892178189103,0.00575144377409208
0.133448697000401,0.0849708817577636,0.60492106696183,0.00347682845456601,0.00395788332362397,0.00659631107813398
0.112552126064458,0.0253637212780583,0.529461964617598,0.00889525202836109,0.000706484254724378,0.00583190942407704
0.111490238562385,0.16281094514338,0.725391243005749,0.00673091154937891,0.0014249640071276,0.00503705859067541
0.137760266382301,0.0867550238867343,0.489266021449532,0.0064040667890665,0.000177005528025895,0.00828714526987684
0.349903335011322,2.41246875028839,0.909745821709362,0.00531641109476493,0.00421834699316791,0.0607782162574794
0.337119462865362,1.85492599706156,0.787481193681985,0.00281605376205358,0.00431129622583861,0.113992593812634
0.64570914537205,17.032341328416,0.745888443049938,0.00527609390083557,0.00321354914133393,0.0683659254939236
0.330375258851464,0.289343165799678,0.869082009894072,0.00166421098820499,0.00452010026049855,0.0607676219929194
0.429604173532678,4.63175518297455,0.785484031872694,0.00198412700475183,0.00390189393435424,0.0528669772085379
0.560509016289197,12.973393988029,0.746520883549118,0.00384892491345969,0.00349761552124515,0.0672661841040379
