"Vmax","Km","CUE","mr","k"
0.438510069535333,8.4724628252113,0.770487503212333,0.00127619243716634,0.00534481162073177
0.736996218735973,0.240735295326731,0.413305492832268,0.063080497963846,0.00219735939324942
1.05064321013303,38.4803483388398,0.598311036522454,2.01268315106077e-05,0.00518611703866734
0.737242584081945,0.201242729551895,0.437511269468541,0.0757999327169795,0.016751423879427
1.08472158814671,20.1565765886622,0.245180545534178,0.00019722864189503,0.00710165451661102
0.709964450939702,0.0630864783783163,0.706583518752558,0.0962825192111596,0.00683742978510495
0.999315005594083,31.302854143867,0.341199763369385,0.00322839904865633,0.000639834678559725
0.48719745113832,9.2225233573302,0.703526806197452,0.000843202160758112,0.00315251639939472
0.757571062997944,1.18241678656299,0.44300246219181,0.0718208760143604,0.00869773875838574
1.03509501777231,5.91612850608667,0.764794430061454,0.0962327184347955,0.00659738076809232
0.862357261096228,28.9926739466121,0.642003566101511,2.7413886970748e-05,0.00520581288750153
0.704838701007096,0.456942131335377,0.469846405637912,0.0834522641036165,0.00631992200951407
