"Vmax","Km","f","k","Yu","fpr","fps","fds","RS_0"
0.209174059039995,1.41827741958148,0.139711944798741,0.00707012890721867,0.469023412547206,0.0325862529039331,0.0665972203846299,0.00546904747531649,0.04012019
0.2468173,9.38219890643574,0.475481924253344,0.007046304,0.3731948,0.364439778187056,0.0564677485652614,0.00845783574024201,0.04012019
0.2468173,3.46009674372956,0.339844627213068,0.007046304,0.3731948,0.0487006516476949,0.101308034222939,0.00712327878663072,0.04012019
0.2468173,2.76440843640312,0.150476762532627,0.007046304,0.3731948,0.0164214529258683,0.0539485022082093,0.00421201184882394,0.04012019
0.472341966379537,19.797022708358,0.696678187110351,0.00969409921511464,0.284177752804607,0.28281211576651,0.119376953096237,0.0104018380189234,0.04012019
0.468515175829276,18.445379043165,0.346009329092463,0.00442892003563731,0.300726654728286,0.0893805219471705,0.0893257395640186,0.00817928381647406,0.04012019
0.2468173,10.9040760072806,0.388337252492782,0.007046304,0.3731948,0.313765219697548,0.0508377464334842,0.00863189188703039,0.04012019
0.2468173,3.28456657715126,0.400263908744772,0.007046304,0.3731948,0.108985946873812,0.106577971127634,0.00750749929457617,0.04012019
0.2468173,2.18812413679562,0.129770140496434,0.007046304,0.3731948,0.04182518420279,0.0416098143216064,0.00403765944864462,0.04012019
0.2468173,6.78016424110701,0.585013267784449,0.007046304,0.3731948,0.44111593719733,0.05780750765605,0.00914403987342515,0.04012019
0.2468173,4.70667182657635,0.396433748314376,0.007046304,0.3731948,1.56127546452787e-05,0.0917344868926847,0.00668692419121738,0.04012019
0.2468173,6.13914862026857,0.248641523761564,0.007046304,0.3731948,0.00039700928588453,0.0587419142661676,0.00466252091451759,0.04012019
