"Vmax","Km","m0","f","k","Yu","fpr","fps","fds","RS_0"
0.233971169555356,7.11331099696024,0.000488412510589155,0.884500472540409,0.010991093434236,0.441975694289793,0.178890214489012,0.0768743523307974,0.00654298482264491,0.06185237
0.2761818,9.46351451028503,1.6260872058161e-05,0.2373511,0.004915818,0.3565256,0.189729718006228,0.0554833248595873,0.00824996306533975,0.06185237
0.2761818,3.8522615160032,0.000413099352556853,0.2373511,0.004915818,0.3565256,0.0416275530900306,0.0998806682264735,0.00709203949749672,0.06185237
0.2761818,5.62502354877148,0.00161790693194783,0.2373511,0.004915818,0.3565256,0.0178679786967791,0.0583342842234391,0.00460516081775723,0.06185237
0.15083682997209,2.08545079992778,0.00590406787927578,0.368749833499804,0.000126087142361871,0.560847176500465,0.0570865590640059,0.0605777645380718,0.0049800207365476,0.06185237
0.347467708021523,5.07917674182395,0.00110335331154424,0.467927897494581,0.00201019768504415,0.178514776625973,0.212870971545432,0.14582870293675,0.0131911858687508,0.06185237
0.2761818,8.86922891769246,0.000831822091815579,0.2373511,0.004915818,0.3565256,0.204655491725161,0.0534623319940816,0.010212287679482,0.06185237
0.2761818,3.15314267348381,0.000832191142009814,0.2373511,0.004915818,0.3565256,0.0760563074841058,0.108080170946755,0.00761535909623435,0.06185237
0.2761818,4.91610529888445,0.00271390327079653,0.2373511,0.004915818,0.3565256,0.0619587236284989,0.0480985038794411,0.00444051119705099,0.06185237
0.2761818,6.19944518766878,1.06676081379667e-05,0.2373511,0.004915818,0.3565256,0.189642550847107,0.0564236652060384,0.00878945311248642,0.06185237
0.2761818,4.9822232477101,1.5803783379331e-05,0.2373511,0.004915818,0.3565256,0.00478525296054814,0.0875276096733093,0.00636594627208136,0.06185237
0.2761818,7.57943147056234,0.000972184307297423,0.2373511,0.004915818,0.3565256,0.000297677467281944,0.0604651681123016,0.00491438789890713,0.06185237
