"Vmax","Km","f","k","Yu"
0.437615786779617,4.34686478595979,0.139512711151419,0.00496662220168293,0.517725930893468
0.999554810878899,8.65458415682266,0.0945688345403257,0.00639326453015712,0.568387011249284
0.987959177412009,19.0026488468027,0.245627502566532,0.00430544263954688,0.466659296495135
0.937289981004279,0.0303378673035005,0.758412055979275,0.192396876437113,0.480520867968478
0.274892847884755,1.23393467358433,1.34051133924106,0.0147915876685402,0.792826865738244
0.508938181285615,13.0714874161276,0.840482858695062,0.00610545665002847,0.636232564174418
0.982445290680889,18.2709901252316,0.113513033359038,0.00231113717798355,0.420314290054375
0.999480504408764,19.9511958032536,0.260961632422896,0.00461578359853751,0.4425705954347
0.69188615486923,19.9966385554611,1.4644836418105,0.0119958139145926,0.575371219770779
0.278866913767334,0.30175887881156,0.878712736236979,0.0073143962895156,0.799740213342251
0.818482980759299,19.9923318430428,0.403891180004624,0.00477610234134908,0.535678651598263
0.31090468851356,3.13038902039939,1.47715522906466,0.00909529466423111,0.718415531800414
